id_student,code_module,code_presentation,precision,recall
89545,EEE,2014J,0.45,0.32142857142857145
89727,DDD,2013J,0.15,0.10344827586206896
89778,BBB,2014B,0.05,0.08333333333333333
89850,BBB,2014J,0.15,0.11538461538461539
89895,FFF,2013B,0.6,0.12121212121212122
89904,DDD,2014B,0.1,0.08695652173913043
90243,BBB,2013J,0.1,0.16666666666666666
90361,BBB,2014B,0.05,0.2
90537,DDD,2014B,0.05,0.01282051282051282
90836,DDD,2013B,0.1,0.5
90901,FFF,2013J,0.5,0.17543859649122806
90979,DDD,2013J,0.0,0.0
91040,CCC,2014J,0.05,0.25
91265,AAA,2013J,0.3,0.23076923076923078
91322,BBB,2013B,0.25,0.2777777777777778
91354,DDD,2013J,0.0,0.0
91470,DDD,2014J,0.25,0.07936507936507936
92274,BBB,2013B,0.0,0.0
92341,BBB,2014B,0.0,0.0
92391,DDD,2013J,0.05,0.06666666666666667
92775,DDD,2013B,0.0,0.0
92832,BBB,2013B,0.15,0.09375
92947,BBB,2013B,0.35,0.28
92993,BBB,2013B,0.05,0.3333333333333333
94484,CCC,2014B,0.1,0.08
94616,BBB,2013B,0.05,0.14285714285714285
94749,FFF,2014J,0.3,0.35294117647058826
94923,DDD,2013B,0.05,0.2
94961,AAA,2014J,0.0,0.0
94978,CCC,2014J,0.0,0.0
95356,DDD,2013B,0.15,0.11538461538461539
95746,FFF,2013J,0.5,0.17543859649122806
95906,CCC,2014B,0.5,0.2564102564102564
96117,GGG,2013J,0.35,0.28
96423,GGG,2014B,0.2,0.15384615384615385
96475,BBB,2013J,0.1,0.5
96538,CCC,2014B,0.3,0.6
96592,DDD,2013B,0.3,0.10526315789473684
96729,FFF,2013B,0.55,0.1864406779661017
96873,EEE,2013J,0.15,1.0
96874,CCC,2014J,0.0,0.0
96874,DDD,2014J,0.0,0.0
97006,BBB,2014B,0.1,0.2222222222222222
97154,BBB,2013B,0.4,0.21621621621621623
97567,BBB,2013J,0.15,0.14285714285714285
98094,AAA,2013J,0.3,0.1875
98268,BBB,2013J,0.15,0.2727272727272727
98313,BBB,2013B,0.15,0.16666666666666666
98720,BBB,2013J,0.0,0.0
98842,BBB,2014J,0.15,0.1111111111111111
99075,DDD,2014J,0.05,0.02702702702702703
99088,BBB,2014J,0.15,0.42857142857142855
99670,FFF,2014B,0.25,0.11363636363636363
99799,BBB,2014B,0.1,0.25
99993,FFF,2013B,0.4,0.12698412698412698
100064,FFF,2013J,0.9,0.125
100561,DDD,2014J,0.15,0.05172413793103448
100788,CCC,2014J,0.05,0.025
100788,FFF,2013J,0.25,0.05154639175257732
100893,AAA,2013J,0.2,0.2857142857142857
101116,AAA,2014J,0.3,0.24
101217,FFF,2014J,0.15,0.23076923076923078
101306,FFF,2013B,0.0,0.0
101420,FFF,2013J,0.05,0.009433962264150943
101781,AAA,2013J,0.3,0.14634146341463414
102028,FFF,2013J,0.55,0.08661417322834646
102209,CCC,2014J,0.0,0.0
102221,DDD,2014J,0.1,0.06896551724137931
102343,FFF,2013J,0.3,0.12
102806,AAA,2013J,0.4,0.22857142857142856
102850,DDD,2013J,0.45,0.13636363636363635
102854,FFF,2014J,0.5,0.11764705882352941
102952,AAA,2013J,0.45,0.23684210526315788
103496,BBB,2014J,0.55,0.2
103535,BBB,2014B,0.2,0.18181818181818182
103800,DDD,2013J,0.0,0.0
103904,DDD,2013B,0.05,0.02127659574468085
104054,BBB,2013B,0.2,0.3076923076923077
104213,FFF,2013J,0.3,0.125
104316,FFF,2014B,0.2,0.06153846153846154
104476,AAA,2013J,0.6,0.24489795918367346
104480,CCC,2014J,0.1,0.3333333333333333
104643,DDD,2013J,0.2,0.06451612903225806
104772,DDD,2014J,0.05,0.14285714285714285
105168,CCC,2014J,0.1,0.3333333333333333
105168,EEE,2013J,0.05,1.0
105413,CCC,2014J,0.6,0.16216216216216217
105523,CCC,2014B,0.2,0.18181818181818182
105523,DDD,2013J,0.2,0.08163265306122448
105527,BBB,2013J,0.1,0.07692307692307693
105629,FFF,2013J,0.65,0.11711711711711711
105851,BBB,2013J,0.15,0.2
105883,BBB,2013J,0.15,0.125
105939,FFF,2014J,0.4,0.12903225806451613
106095,BBB,2014J,0.3,0.14634146341463414
106247,AAA,2013J,0.0,0.0
106553,DDD,2014J,0.0,0.0
106577,AAA,2013J,0.15,0.15789473684210525
106588,BBB,2013J,0.3,0.23076923076923078
106793,BBB,2014J,0.1,0.18181818181818182
107028,FFF,2013J,0.1,0.06666666666666667
107084,FFF,2013J,0.5,0.19230769230769232
107162,FFF,2013B,0.9,0.18181818181818182
107339,CCC,2014B,0.3,0.15
107339,EEE,2013J,0.1,0.08333333333333333
107455,FFF,2014J,0.3,0.17647058823529413
107489,AAA,2014J,0.65,0.35135135135135137
108118,BBB,2013J,0.1,0.08333333333333333
108207,FFF,2014B,0.3,0.08823529411764706
108281,EEE,2014J,0.45,0.28125
108330,FFF,2013B,0.15,0.07692307692307693
108377,BBB,2013B,0.15,0.2727272727272727
108497,EEE,2014J,0.2,0.18181818181818182
108589,BBB,2013B,0.3,0.3
108760,BBB,2013J,0.05,0.125
108799,BBB,2014B,0.15,0.2
108822,FFF,2014B,0.3,0.06741573033707865
108834,CCC,2014B,0.1,0.14285714285714285
108859,BBB,2014J,0.6,0.3076923076923077
108872,AAA,2014J,0.6,0.42857142857142855
108949,FFF,2014J,0.0,0.0
109155,AAA,2014J,0.35,0.23333333333333334
109372,BBB,2013J,0.1,0.08333333333333333
109441,BBB,2014J,0.45,0.21951219512195122
109577,CCC,2014J,0.15,0.14285714285714285
109577,FFF,2014J,0.45,0.18
109772,GGG,2014B,0.15,0.23076923076923078
109782,BBB,2013J,0.1,0.6666666666666666
109938,BBB,2013B,0.2,0.21052631578947367
110085,FFF,2013B,0.3,0.10714285714285714
110116,FFF,2013B,0.5,0.15151515151515152
110175,AAA,2013J,0.25,0.2
110200,DDD,2013B,0.05,0.3333333333333333
110524,DDD,2014J,0.2,0.0625
110529,FFF,2014B,0.1,0.6666666666666666
110640,DDD,2014J,0.25,0.10416666666666667
110789,EEE,2014J,0.25,0.21739130434782608
110881,BBB,2013B,0.0,0.0
110881,FFF,2013J,0.4,0.1038961038961039
110911,BBB,2014J,0.15,0.23076923076923078
111360,DDD,2013B,0.05,0.3333333333333333
111360,DDD,2013J,0.05,0.024390243902439025
111548,DDD,2013J,0.3,0.35294117647058826
111717,AAA,2013J,0.4,0.23529411764705882
111775,FFF,2013B,0.15,0.05555555555555555
111926,DDD,2013J,0.1,0.09090909090909091
111926,DDD,2014J,0.05,0.1
111942,BBB,2013J,0.6,0.16666666666666666
111959,DDD,2014B,0.15,0.375
112245,DDD,2013B,0.05,0.0136986301369863
112441,GGG,2014B,0.5,0.2857142857142857
112454,CCC,2014J,0.45,0.1875
113295,AAA,2013J,0.45,0.20454545454545456
113565,FFF,2013J,0.85,0.2073170731707317
113702,FFF,2014J,0.0,0.0
113824,EEE,2013J,0.15,0.5
114017,AAA,2013J,0.1,0.18181818181818182
114367,CCC,2014J,0.1,0.05714285714285714
114402,BBB,2014J,0.3,0.2727272727272727
114500,FFF,2013J,0.45,0.1232876712328767
114558,DDD,2013J,0.3,0.09375
114999,AAA,2013J,0.45,0.21428571428571427
115373,FFF,2013B,0.45,0.17647058823529413
115452,BBB,2014B,0.0,0.0
116319,GGG,2014B,0.25,0.2777777777777778
116518,CCC,2014B,0.05,0.045454545454545456
116529,FFF,2013J,0.1,0.2
116529,FFF,2014J,0.0,0.0
116541,AAA,2013J,0.55,0.2972972972972973
116603,BBB,2013B,0.3,0.1935483870967742
116606,BBB,2014J,0.15,0.1875
116621,FFF,2014B,0.15,0.05454545454545454
116692,AAA,2013J,0.15,0.14285714285714285
116808,FFF,2013J,0.2,0.024242424242424242
